phrase,source,verified,ragil,hebrew_year,gregorian_year,hebrew_gregorian_mapping,category_type,event_name,provenance,confidence,id,reason
יהוה יערוך נר למשיח ב2015- לפני לפי אחת,excel_import,False,1820,,2015,,year_in_phrase,,יהוה יערוך נר למשיח ב2015 - לפני לפי אחת | source=excel_import,high,7e2ca998-e626-494e-8826-351ac82c3642,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
יהוה יצמיח קרן לדוד ב2015 - לפי אחת - אחרי,excel_import,False,3960,,2015,,year_in_phrase,,יהוה יצמיח קרן לדוד ב2015 - לפי אחת - אחרי | source=excel_import,high,eab7fd69-4722-4ebf-bf95-91a0b9574eab,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
יהוה יתקדש בעלם ב2016= אתבש,excel_import,False,2016,,2016,,year_in_phrase,,יהוה יתקדש בעלם ב2016= אתבש | source=excel_import,high,7725ced8-72d3-4e84-b7ec-11dd8ee92970,"הביטוי כולל במפורש ""ב2016"""
כסא משיח דוד תכין 2015ב,excel_import,False,776,,2015,,year_in_phrase,,כסא משיח דוד תכין 2015ב | source=excel_import,high,5424ed67-664e-4e71-873b-0cabb72a6f1e,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
לא יקבלו אותי כמשיח ב2015-לפי אחד,excel_import,False,3960,,2015,,year_in_phrase,,לא יקבלו אותי כמשיח ב2015 - לפי אחד | source=excel_import,high,6ed72f96-ba89-4e05-b131-04c698683071,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
לי כתר דויד המלך ב2015- לפני =פי 5,excel_import,False,7170,,2015,,year_in_phrase,,לי כתר דויד המלך ב2015 - לפני =פי 5 | source=excel_import,high,a5d24d7c-fa01-41d1-889f-9d5f3497abcf,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
לך מלכות דויד בן ישי ב2015 - ריבוע,excel_import,False,5140,,2015,,year_in_phrase,,לך מלכות דויד בן ישי ב2015 - ריבוע | source=excel_import,high,9f45b7a1-04d7-4e7a-9813-26aaab241054,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
מֹעֵד שְׁנַת הַשְּׁמִטָּה--בְּחַג הַסֻּכּוֹת בשנה החדשה חמשת אלפים שבע מאות שבעים ושש - אחס בטע,excel_import,True,5312,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,(none) | source=excel_import,medium,968615ef-36dc-4b3a-a780-0cadfd0cb757,השנה העברית מאוית במלואה בביטוי
מֹעֵד שְׁנַת הַשְּׁמִטָּה--בְּחַג הַסֻּכּוֹת. חמשת אלפים שבע מאות שבעים ושש,excel_import,True,4483,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,(none) | source=excel_import,medium,1d83baa3-6053-481e-bc28-438eed31158f,השנה העברית מאוית במלואה בביטוי
מושיע ישראל האמיתי ב2015 - מיקום האות,excel_import,False,358,,2015,,year_in_phrase,,מושיע ישראל האמיתי ב2015 - מיקום האות | source=excel_import,high,ce3172a3-1b65-47a0-b325-3216c0826831,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
מי עבד יהוה הנאמן ב2015- לפני,excel_import,False,3480,,2015,,year_in_phrase,,מי עבד יהוה הנאמן ב2015 - לפני | source=excel_import,high,5a400c01-84ca-4bc5-9af1-d1c298cb9539,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
מלחמת גוג ומגוג ב2016- אטבח,excel_import,False,4770,,2016,,year_in_phrase,,מלחמת גוג ומגוג ב2016 - אטבח | source=excel_import,high,c746d644-a334-4065-8823-78f40b16f8e4,"הביטוי כולל במפורש ""ב2016"""
מלך המשיח יבא מכי ליהוה המלוכה ב2016 -01300-רגיל,excel_import,False,18200,,2016,,year_in_phrase,,מלך המשיח יבא מכי ליהוה המלוכה ב2016 - 01300 - רגיל | source=excel_import,high,9216b91e-2453-4854-8e81-97df57c5e07c,"הביטוי כולל במפורש ""ב2016"""
מלך המשיח יבוא באלפיים שש עשרה,excel_import,False,1820,,2016,,year_in_phrase,,מלך המשיח יבוא באלפיים שש עשרה | source=excel_import,high,cc9b620d-ba76-4d1a-9038-89096e4a8849,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2016"
מלך המשיח תשפד,auto:תיעוד אירועים wp29114,True,1237,"תשפ""ד (5784)",,,year_in_phrase,,שרשרת: [1237] | source=auto:תיעוד אירועים wp29114,high,051ce11b-34b6-4696-8c29-8db63acd96dd,"הביטוי כולל במפורש את אסימון-השנה ""תשפד"""
מלכות ב2015 -אחרי גדול,excel_import,False,3382,,2015,,year_in_phrase,,מלכות ב2015 - אחרי גדול | source=excel_import,high,6d2f2882-9bd7-49e9-9372-4fb853067ad3,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
מלכות דויד בן ישי תתחיל ב2016 -רגיל ומס,excel_import,False,6440,,2016,,year_in_phrase,,מלכות דויד בן ישי תתחיל ב2016 - רגיל ומס | source=excel_import,high,fd499b54-fabc-4c7e-8f04-0464425e427f,"הביטוי כולל במפורש ""ב2016"""
מלכות דויד תתחיל ב2016 -פניפ מילה -12000-לפני =פי 5,excel_import,False,6440,,2016,,year_in_phrase,,מלכות דויד תתחיל ב2016 - פניפ מילה - 12000 - לפני =פי 5 | source=excel_import,high,ea8e7af4-69f4-4330-acbd-eadb90c3ee23,"הביטוי כולל במפורש ""ב2016"""
מלכותי באלפיים שש עשרה -לפני =פי 5,excel_import,False,6440,,2016,,year_in_phrase,,מלכותי באלפיים שש עשרה - לפני =פי 5 | source=excel_import,high,ca39506e-f48a-4ef0-bb1c-39ee208a8c26,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2016"
מלכותי תהיה 2015ב- 2600 רגיל ואותיות,excel_import,False,2756,,2015,,year_in_phrase,,מלכותי תהיה 2015ב - 2600 רגיל ואותיות | source=excel_import,high,8253a548-5beb-4933-963d-b783f8c88e05,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
ניצחון מוחלט בחמאס תשפד,auto:תיעוד אירועים wp31911,True,1202,"תשפ""ד (5784)",,,year_in_phrase,,שרשרת: [1202] | source=auto:תיעוד אירועים wp31911,high,d3c99de3-3ea5-4f69-982c-c90ce077f1c8,"הביטוי כולל במפורש את אסימון-השנה ""תשפד"""
ניצחון מוחלט בעמלק תשפד,auto:תיעוד אירועים wp31911,True,1333,"תשפ""ד (5784)",,,year_in_phrase,,שרשרת: [1333] | source=auto:תיעוד אירועים wp31911,high,47d4e1cd-6805-472a-a275-1dcab27ba06e,"הביטוי כולל במפורש את אסימון-השנה ""תשפד"""
סוד הגאולה התשפ״ו,contribution:אריאל,True,911,"תשפ""ו (5786)",,,year_in_phrase,,(none) | source=contribution:אריאל,high,302bf887-8af7-483c-8059-09b236e6285c,"הביטוי כולל במפורש את אסימון-השנה ""תשפ״ו"""
סוד שנת תשפד,auto:תיעוד אירועים wp21354,True,1604,"תשפ""ד (5784)",,,year_in_phrase,,שרשרת: [1604] | source=auto:תיעוד אירועים wp21354,high,62d207fe-1b7b-4445-ab52-358c8dcfdcaa,"הביטוי כולל במפורש את אסימון-השנה ""תשפד"""
צמח משיח בן דויד ב2015,excel_import,False,2222,,2015,,year_in_phrase,,צמח משיח בן דויד ב2015 | source=excel_import,high,d88925b5-85b7-4b86-9f52-b700587d394b,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
קריסת הכלכלה השנה ב2015 - סופי תיבות,excel_import,False,1212,,2015,,year_in_phrase,,קריסת הכלכלה השנה ב2015 - סופי תיבות | source=excel_import,high,84458924-42b5-4c2e-bb42-c9921b4ac4e8,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
רצון יהוה בתשובת ישראל ב2016 -מילוי -590-קטן,excel_import,False,71700,,2016,,year_in_phrase,,רצון יהוה בתשובת ישראל ב2016 - מילוי - 590 - קטן | source=excel_import,high,789fcc13-9483-400d-8ea8-3e7445a1a011,"הביטוי כולל במפורש ""ב2016"""
רצון יהוה משיח צדק ב2015 -משולש,excel_import,False,44100,,2015,,year_in_phrase,,רצון יהוה משיח צדק ב2015 - משולש | source=excel_import,high,b184a780-9595-43af-8bd8-dd663c6b2727,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
שורש דויד ב2015 -5520- סת,excel_import,False,15200,,2015,,year_in_phrase,,שורש דויד ב2015 - 5520 - סת | source=excel_import,high,e07d5b91-d790-4f17-bcaf-e8aca8d98f3a,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
שניאור התשפ״ו,contribution:אריאל,True,1358,"תשפ""ו (5786)",,,year_in_phrase,,(none) | source=contribution:אריאל,high,b94f71f0-9b6f-4f29-9ba3-4b0958972c9c,"הביטוי כולל במפורש את אסימון-השנה ""תשפ״ו"""
שנת 2448= לפני,excel_import,False,920,"שנת 2448 (למניין בריאת העולם - AM, לא לועזי)",,,year_in_phrase,,שנת 2448= לפני | source=excel_import,medium,25781270-6f21-49ab-b93c-dc9fab774572,"הביטוי כולל ""שנת 2448"" בספרות ערביות — סביר שזו שנת-בריאה (AM) מסורתית (מתן תורה) ולא שנה לועזית; ""לפני"" בהמשך הוא שם-שיטת-חישוב (""אות לפני"") לא ""לפני X שנים"""
שער נון התשפו,גלריית סוד1820 - עדכון 23/4/2026,True,1467,"תשפ""ו (5786)",,,year_in_phrase,,"מסתתר רגיל=1237=התגלות. רגיל=1467, גדול=2117, משולש=5657, ריבוע=4143, מילוי=2128. בתקופת מלחמת איראן (יראה נון). סינכרונ | source=גלריית סוד1820 - עדכון 23/4/2026",high,37f14782-5c96-4a65-9ba8-11bb78b420d3,"הביטוי כולל במפורש את אסימון-השנה ""תשפו"""
תשועת ישראל ב2015 - מילוי גדול אות שניה 5140 - פי 5 -,excel_import,False,64400,,2015,,year_in_phrase,,תשועת ישראל ב2015 - מילוי גדול אות שניה 5140 - פי 5 | source=excel_import,high,90286a16-68c7-4937-b3f4-20c3f9895ce4,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
תשפ,wa-vip,False,780,"תש""פ (5780)",,,year_in_phrase,,מאת OPOC1 OPOC1 | source=wa-vip; vip_source=OPOC1 OPOC1,high,98c70471-cc26-4269-9a73-aa6beb54ea3b,הביטוי כולו הוא אסימון-שנה עברי (עם/בלי גרשיים)
תשפג,wp_id:23886,True,783,"תשפ""ג (5783)",,,year_in_phrase,,=783 | source=wp_id:23886,high,d25e17a7-eb08-49a4-a112-a7e10ca3ea1b,הביטוי כולו הוא אסימון-שנה עברי (עם/בלי גרשיים)
תשפד,גיורא בן-יעקוב SMS,True,784,"תשפ""ד (5784)",,,year_in_phrase,,(none) | source=גיורא בן-יעקוב SMS,high,4905c4f5-f764-4a48-8f86-3106e06054b9,הביטוי כולו הוא אסימון-שנה עברי (עם/בלי גרשיים)
תשפה,גיורא בן-יעקוב SMS,True,785,"תשפ""ה (5785)",,,year_in_phrase,,(none) | source=גיורא בן-יעקוב SMS,high,9f9707de-a42a-4714-8264-4ec88e830192,הביטוי כולו הוא אסימון-שנה עברי (עם/בלי גרשיים)
תשפו,גיורא בן-יעקוב SMS,True,786,"תשפ""ו (5786)",,,year_in_phrase,,(none) | source=גיורא בן-יעקוב SMS; vip_source=OPOC1 OPOC1,high,c7dee8ab-6e36-4086-86fd-b4c363480c82,הביטוי כולו הוא אסימון-שנה עברי (עם/בלי גרשיים)
