phrase,source,verified,ragil,detected_number_words,parsed_numeric_sequence,parsed_numeric_value,corpus_role,world_theme,provenance,confidence,category
בניסן חמשת אלפים שבע מאות שבעים ושש,excel_import,False,2928,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,בניסן חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,mixed_numeric_phrase
"ברק חוסיין אובמה השני גוג י""ח ∆",excel_import,False,12441,שני,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
בשנת חמשת אלפים שבע מאות שבעים ושש,excel_import,False,3508,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,בשנת חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,mixed_numeric_phrase
בשתי שבתות,excel_import,True,1820,שתי,,,research_package,1820 (site core number) [gematria match],(none) | source=excel_import,medium,mixed_numeric_phrase
גאולה בעתה בחמש שבע שבע שש,excel_import,False,2216,"חמש, שבע, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
גואל חמש שש שש,excel_import,True,1588,"חמש, שש",,,research_package,,רגיל ואתבש | source=excel_import,medium,mixed_numeric_phrase
דוד בן ישי עשרה טבת,excel_import,False,1372,עשרה,,,research_package,,מסתתר גדול | source=excel_import,medium,mixed_numeric_phrase
דויד בן ישי בשבע מאות שבעים ושש,excel_import,False,2245,"מאות, שבע, שבעים, שש",,776,research_package,,רגיל ומילוי | source=excel_import,medium,mixed_numeric_phrase
דויד בן ישי בשבע שבע שש לפני,excel_import,False,1912,"שבע, שש",,,research_package,,דויד בן ישי בשבע שבע שש לפני | source=excel_import,medium,mixed_numeric_phrase
דעת 337 - לפני - מילוי ללא 1396 (שלוש),excel_import,False,1474,שלוש,,,research_package,,דעת 337 - לפני - מילוי ללא 1396 (שלוש) | source=excel_import,medium,mixed_numeric_phrase
דעת ארבע שבע ארבע,excel_import,True,1392,"ארבע, שבע",,,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
דעת עשרים עשרים ושתים,excel_import,True,2470,עשרים,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
דרגתי בעתה אחת אחת אחת אחת אחת,excel_import,False,3139,אחת,,,research_package,,סת | source=excel_import,medium,mixed_numeric_phrase
האחד שלי 1317,excel_import,False,358,אחד,,,research_package,,האחד שלי 1317 | source=excel_import,medium,mixed_numeric_phrase
האחת היחידה,excel_import,True,456,אחת,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
האלף האחרון 386 עם האותיות 396,excel_import,False,386,אלף,,,research_package,,האלף האחרון 386 עם האותיות 396 | source=excel_import,medium,mixed_numeric_phrase
הוא אחד,excel_import,True,25,אחד,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
הוא משיחכם באלפיים חמש עשרה - סת,excel_import,False,386,"אלפיים, חמש, עשרה",,2015,research_package,,הוא משיחכם באלפיים חמש עשרה - סת | source=excel_import,medium,mixed_numeric_phrase
החטר מגזע ישי באלפים חמש עשרה,excel_import,False,1748,"אלפים, חמש, עשרה",,2015,research_package,,החטר מגזע ישי באלפים חמש עשרה - לפני | source=excel_import,medium,mixed_numeric_phrase
הישועה בימינו עשרה בטבת,excel_import,True,1502,עשרה,,,research_package,,משולש | source=excel_import,medium,mixed_numeric_phrase
הכנסת העשרים היא האחרונה,excel_import,True,1451,עשרים,,,research_package,,הכנסת העשרים היא האחרונה | source=excel_import,medium,mixed_numeric_phrase
המלך 1335 1290- לפני 4340- איק בכר לפי- אחד,excel_import,False,2212,אחד,,,research_package,,המלך 1335 1290 - לפני 4340 - איק בכר לפי - אחד | source=excel_import,medium,mixed_numeric_phrase
המלך האחרון בשבע מאות שבעים ושש,excel_import,False,2214,"מאות, שבע, שבעים, שש",,776,research_package,,אות שניה 358 - רת | source=excel_import,medium,mixed_numeric_phrase
המשיח בעשרה בטבת שבע מאות שבעים ושש,excel_import,False,3200,"מאות, עשרה, שבע, שבעים, שש",,776,research_package,,מיקום 2626 לפני | source=excel_import,medium,mixed_numeric_phrase
המשיח ברוח הקדש בעשרה בטבת,excel_import,False,1978,עשרה,,,research_package,,לפני | source=excel_import,medium,mixed_numeric_phrase
המשיח בשבע מאות שבעים ושש,excel_import,False,2212,"מאות, שבע, שבעים, שש",,776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
המשיח ואליהו באלפים חמש עשרה -מסתתר,excel_import,False,1644,"אלפים, חמש, עשרה",,2015,research_package,,המשיח ואליהו באלפים חמש עשרה - מסתתר | source=excel_import,medium,mixed_numeric_phrase
המשיח שש שבע,excel_import,True,1335,"שבע, שש",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
הנשמה בת ששת אלפים השנים,excel_import,False,2368,"אלפים, שנים, ששת",,,research_package,,הנשמה בת ששת אלפים השנים | source=excel_import,medium,mixed_numeric_phrase
העשרת אורניום - 2310 וכן 1288,excel_import,False,3330,עשרת,,,research_package,,העשרת אורניום - 2310 וכן 1288 | source=excel_import,medium,mixed_numeric_phrase
הקדוש ברוך הוא + תורה + ישראל + אחד,excel_import,False,1820,אחד,,,research_package,1820 (site core number) [gematria match],(none) | source=excel_import,medium,mixed_numeric_phrase
הקץ חמשת אלפים שבע מאות שבעים ושש,excel_import,False,2951,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,הקץ חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,mixed_numeric_phrase
השכינה בעשרה בטבת,excel_import,True,1380,עשרה,,,research_package,,מדבר רבה | source=excel_import,medium,mixed_numeric_phrase
השכינה הקדשה ישראל אחד,excel_import,True,1358,אחד,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
השנה אלפיים חמש עשרה - ריבוע,excel_import,False,1742,"אלפיים, חמש, עשרה",,2015,research_package,,השנה אלפיים חמש עשרה - ריבוע | source=excel_import,medium,mixed_numeric_phrase
התגלות אליהו והמשיח בעוד ארבעים יום,excel_import,False,1726,ארבעים,,,research_package,,מילוי דה מילוי | source=excel_import,medium,mixed_numeric_phrase
התגלות בשבע מאות שבעים ושש,excel_import,False,2693,"מאות, שבע, שבעים, שש",,776,research_package,,מילוי ללא | source=excel_import,medium,mixed_numeric_phrase
התגלות המשיח בחמש שבע שבע שש,excel_import,False,2901,"חמש, שבע, שש",,5776,research_package,,אחרי | source=excel_import,medium,mixed_numeric_phrase
התגלות המשיח בשבע מאות שבעים ושש,excel_import,False,3056,"מאות, שבע, שבעים, שש",,776,research_package,,רת | source=excel_import,medium,mixed_numeric_phrase
התגלותו בשבע מאות שבעים ושש,excel_import,False,2699,"מאות, שבע, שבעים, שש",,776,research_package,,אתבש - 2440 אחס בטע | source=excel_import,medium,mixed_numeric_phrase
התגלותך בשבע מאות שבעים ושש,excel_import,False,2713,"מאות, שבע, שבעים, שש",,776,research_package,,מדבר רבה | source=excel_import,medium,mixed_numeric_phrase
התגלותך כמשיח בעוד שלשים וחמשה יום,excel_import,False,2419,"חמשה, שלשים",,,research_package,,אחרי =פי 5 | source=excel_import,medium,mixed_numeric_phrase
וארבע מאות איש עמו,excel_import,True,1153,"ארבע, מאות",,,research_package,,אתבש | source=excel_import,medium,mixed_numeric_phrase
"וּבָא לְצִיּוֹן גּוֹאֵל, וּלְשָׁבֵי פֶשַׁע בְּיַעֲקֹב--נְאֻם, יְהוָה ליהוה בחמשת אלפים שבע מאות שבעים ושש- משולש גדול",excel_import,False,26626,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
"וְזֹאת לִיהוּדָה, וַיֹּאמַר, שְׁמַע יְהוָה קוֹל יְהוּדָה, וְאֶל-עַמּוֹ תְּבִיאֶנּוּ; יָדָיו רָב לוֹ, וְעֵזֶר מִצָּרָיו תִּהְיֶה התגלות מלך המשיח בחמשת אלפים שבע מאות שבעים ושש",excel_import,False,2660,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
ויהוה עליהם יראה ויו יוד הי ויו הי עין למד יוד הי מם יוד ריש אלף הי,excel_import,False,1472,אלף,,,research_package,,מקור: וַיהוָה עֲלֵיהֶם יֵרָאֶה ויו יוד הי ויו הי עין למד יוד הי מם יוד ריש אלף הי 506 3337 | source=excel_import,medium,mixed_numeric_phrase
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים ביאת המשיח באלפיים חמש עשרה - מילוי,excel_import,False,14000,"אלפיים, חמש, עשרה",,2015,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים ביאת המשיח באלפיים חמש עשרה-מיקום האות -70000-מילוי =פי 5,excel_import,False,4440,"אלפיים, חמש, עשרה",,2015,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים. אלפיים חמש עשרה,excel_import,True,4620,"אלפיים, חמש, עשרה",,2015,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים. חמשת אלפים שבע מאות שבעים ושש -33750-לפני =פי 5,excel_import,False,22120,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
חכמה שבעים ושלש,excel_import,True,1131,"שבעים, שלש",,,research_package,,לפני - 1134 - רגיל ומלים | source=excel_import,medium,mixed_numeric_phrase
חמש שבע שבע שש באותיות,excel_import,False,2517,"חמש, שבע, שש",,5776,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
חמש שבע שבע שש המשכלים יבינו,excel_import,False,2215,"חמש, שבע, שש",,5776,research_package,,אתבש + רגיל | source=excel_import,medium,mixed_numeric_phrase
חמש שלש שלש (533) - מילוי דמילוי,excel_import,False,13360,"חמש, שלש",,,research_package,,חמש שלש שלש (533) - מילוי דמילוי | source=excel_import,medium,mixed_numeric_phrase
י ה ו ה אחד מעתה ועד עולם,excel_import,False,780,אחד,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
יבא גואל בעתה חמש שבע שבע שש,excel_import,False,2222,"חמש, שבע, שש",,5776,research_package,,סופי תיבות 776 | source=excel_import,medium,mixed_numeric_phrase
יהיה אחד,excel_import,True,43,אחד,,,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
יהיה אחד * 26 - מסתתר,excel_import,False,676,אחד,,,research_package,,יהיה אחד * 26 - מסתתר | source=excel_import,medium,mixed_numeric_phrase
יום ביאת המשיח האמיתי עשרה בטבת,excel_import,False,2286,עשרה,,,research_package,,מילוי =פי 5 | source=excel_import,medium,mixed_numeric_phrase
יום הדין העשרה בטבת,excel_import,True,1118,עשרה,,,research_package,,1134 - רגיל ואותיות - 1212 - אתבש | source=excel_import,medium,mixed_numeric_phrase
יום ההתגלות עשרה בטבת,excel_import,True,1893,עשרה,,,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
יום הויה הגדול והנורא עשרה בטבת,excel_import,False,1386,עשרה,,,research_package,,יום הויה הגדול והנורא עשרה בטבת | source=excel_import,medium,mixed_numeric_phrase
יום התגלותי כמשיח יהוה עשרה בטבת,excel_import,False,2302,עשרה,,,research_package,,משולש - 3970 מסתתר | source=excel_import,medium,mixed_numeric_phrase
יפול מצדך אלף ורבבה מימינך,excel_import,False,776,"אלף, רבבה",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
כי לה' המלוכה אלף שמונה מאות עשרים,excel_import,False,1750,"אלף, מאות, עשרים, שמונה",,1820,research_package,1820 (site core number) [spelled-value match],(none) | source=excel_import,medium,mixed_numeric_phrase
כי שבע יפול צדיק וקם,excel_import,False,878,שבע,,,research_package,,מקור: כי שבע יפול צדיק וקם 455 | source=excel_import,medium,mixed_numeric_phrase
כתובת המשיח באחוזה ששים ושמונה אחרי,excel_import,False,2496,"שמונה, ששים",,,research_package,,כתובת המשיח באחוזה ששים ושמונה אחרי | source=excel_import,medium,mixed_numeric_phrase
לי דרגת מלך המשיח ה11111-גדול- אחת,excel_import,False,3630,אחת,,,research_package,,לי דרגת מלך המשיח ה11111 - גדול - אחת | source=excel_import,medium,mixed_numeric_phrase
מאה ארבעים ושמונה (148),excel_import,False,776,"ארבעים, מאה, שמונה",,,research_package,,מאה ארבעים ושמונה (148) | source=excel_import,medium,mixed_numeric_phrase
מי ימשח למלך בעוד עשרים וששה יום,excel_import,False,1897,"עשרים, ששה",,,research_package,,גדול ומילוי גדול | source=excel_import,medium,mixed_numeric_phrase
מי יקבל תורה חדשה משלוש,excel_import,False,1796,שלוש,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
מי יתגלה בעוד ארבעים יום,excel_import,False,959,ארבעים,,,research_package,,משולש =פי 5 | source=excel_import,medium,mixed_numeric_phrase
מימד חמש 1472,excel_import,False,442,חמש,,,research_package,,מימד חמש 1472 | source=excel_import,medium,mixed_numeric_phrase
מלחמה אחת אהובי בא,excel_import,True,559,אחת,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
מלחמה אלפים חמש מאות וארבע,excel_import,False,1358,"אלפים, ארבע, חמש, מאות",,,research_package,,מלחמה אלפים חמש מאות וארבע | source=excel_import,medium,mixed_numeric_phrase
מלחמת גוג ומגוג בעוד עשרים ושבעה יום,excel_import,False,1729,"עשרים, שבעה",,,research_package,,סת == משולש ומשולש | source=excel_import,medium,mixed_numeric_phrase
מלך אחד על כל העולם,excel_import,False,404,אחד,,,research_package,,מסתתר 1335 מדבר רבה | source=excel_import,medium,mixed_numeric_phrase
מלך המשיח בעשירי בטבת חמש שבע שבע שש,excel_import,False,3150,"חמש, שבע, שש",,5776,research_package,,גדול | source=excel_import,medium,mixed_numeric_phrase
מלך המשיח יבוא באלפיים שש עשרה,excel_import,False,1820,"אלפיים, עשרה, שש",,2016,research_package,1820 (site core number) [gematria match],מלך המשיח יבוא באלפיים שש עשרה | source=excel_import,medium,mixed_numeric_phrase
מלכותי באלפיים שש עשרה -לפני =פי 5,excel_import,False,6440,"אלפיים, עשרה, שש",,2016,research_package,,מלכותי באלפיים שש עשרה - לפני =פי 5 | source=excel_import,medium,mixed_numeric_phrase
מֹעֵד שְׁנַת הַשְּׁמִטָּה--בְּחַג הַסֻּכּוֹת בשנה החדשה חמשת אלפים שבע מאות שבעים ושש - אחס בטע,excel_import,True,5312,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
מֹעֵד שְׁנַת הַשְּׁמִטָּה--בְּחַג הַסֻּכּוֹת. חמשת אלפים שבע מאות שבעים ושש,excel_import,True,4483,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
מצפון תפתח הרעה בעוד עשרים ושבעה יום,excel_import,False,2575,"עשרים, שבעה",,,research_package,,מיקום=פי 5 | source=excel_import,medium,mixed_numeric_phrase
משיח בן דוד עבדך חמש שבע שבע שש,excel_import,False,2212,"חמש, שבע, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
משיח בן דוד שבע שבע שש ∆,excel_import,False,6606,"שבע, שש",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
משיח בן דויד חמש שבע שבע שש ( ∆ ישר והפוך),excel_import,False,15334,"חמש, שבע, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
משיח בשבע מאות שבעים ושש,excel_import,False,2207,"מאות, שבע, שבעים, שש",,776,research_package,,רגיל ומלים | source=excel_import,medium,mixed_numeric_phrase
משיח יבא בשבע שבע שש,excel_import,False,1717,"שבע, שש",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
משיח יה שלוש חמש שמונה,excel_import,False,1758,"חמש, שלוש, שמונה",,,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
משיח יהוה באלפים חמש עשרה - מיקום,excel_import,False,248,"אלפים, חמש, עשרה",,2015,research_package,,משיח יהוה באלפים חמש עשרה - מיקום | source=excel_import,medium,mixed_numeric_phrase
משיח יהוה יתגלה עשרה בטבת,excel_import,False,1820,עשרה,,,research_package,1820 (site core number) [gematria match],(none) | source=excel_import,medium,mixed_numeric_phrase
משיחי יתגלה בעוד ארבעים יום,excel_import,False,1277,ארבעים,,,research_package,,ריבוע | source=excel_import,medium,mixed_numeric_phrase
סוד 1820 - אחד,excel_import,False,83,אחד,,,research_package,,סוד 1820 - אחד | source=excel_import,medium,mixed_numeric_phrase
סוד אלף שמונה מאות עשרים כי לה' המלוכה,excel_import,False,1820,"אלף, מאות, עשרים, שמונה",,1820,research_package,1820 (site core number) [gematria match]; 1820 (site core number) [spelled-value match],(none) | source=excel_import,medium,mixed_numeric_phrase
סוד המשיח האחרון 1335-גדול -לפי-אחת,excel_import,False,3370,אחת,,,research_package,,סוד המשיח האחרון 1335 - גדול - לפי - אחת | source=excel_import,medium,mixed_numeric_phrase
סוד יהוה 1820 סופי תיבות (אחת) 1337 לפני,excel_import,False,514,אחת,,,research_package,,סוד יהוה 1820 סופי תיבות (אחת) 1337 לפני | source=excel_import,medium,mixed_numeric_phrase
עם קשה עורף אנחנו ב = 988 רגיל = עשרה בטבת,excel_import,False,,עשרה,,,research_package,,עם קשה עורף אנחנו ב = 988 רגיל = עשרה בטבת | source=excel_import,medium,mixed_numeric_phrase
עצמאות שבעים ושלוש,excel_import,True,1671,"שבעים, שלוש",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
עשר הספירות,excel_import,True,1331,עשר,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
עשר שמיטות,excel_import,True,1335,עשר,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
עשרה בטבת,excel_import,True,988,עשרה,,,research_package,,"937 מסתתר - אחס"" בטע 533 - 997 במדבר | source=excel_import",medium,mixed_numeric_phrase
עשרה בטבת דויד בן ישי יתגלה,excel_import,False,1832,עשרה,,,research_package,,משולש | source=excel_import,medium,mixed_numeric_phrase
עשרה בטבת סוד יהוה,excel_import,True,1084,עשרה,,,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
עשרה בטבת סוד יהוה יחשף,excel_import,False,1482,עשרה,,,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
עשרה בניסן,excel_import,True,747,עשרה,,,research_package,,אלבם - 514 - לפני | source=excel_import,medium,mixed_numeric_phrase
עשרים ושבע האותיות (גדול),excel_import,False,2386,"עשרים, שבע",,,research_package,,עשרים ושבע האותיות (גדול) | source=excel_import,medium,mixed_numeric_phrase
עשרים ושתים אותיות כולל,excel_import,True,2285,עשרים,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
עת האלף,excel_import,True,586,אלף,,,research_package,,רגיל - רגיל ואתבש 1110 | source=excel_import,medium,mixed_numeric_phrase
צמח דוד בחמש שבע שבע שש,excel_import,False,1846,"חמש, שבע, שש",,5776,research_package,,פי 5 לפני - אחרי 12020 | source=excel_import,medium,mixed_numeric_phrase
צמח דוד חמש שבע שבע שש,excel_import,False,1844,"חמש, שבע, שש",,5776,research_package,,מסתתר | source=excel_import,medium,mixed_numeric_phrase
צמח המשיח ימשח בשמן המשחה בעשרה בטבת,excel_import,False,2599,עשרה,,,research_package,,אתבש | source=excel_import,medium,mixed_numeric_phrase
רוח אלהים תרד בעוד עשרים וששה יום,excel_import,False,2273,"עשרים, ששה",,,research_package,,גדול ומלים - 15200 - גדול ומילוי גדול | source=excel_import,medium,mixed_numeric_phrase
שבע מאות חמישים. = 1227 (750 סכום המענק לכל אזרח),excel_import,False,1227,"חמישים, מאות, שבע",,,research_package,,שבע מאות חמישים. = 1227 (750 סכום המענק לכל אזרח) | source=excel_import,medium,mixed_numeric_phrase
שבע שש יום,excel_import,True,1028,"שבע, שש",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
שבעה באוקטובר,excel_import,True,703,שבעה,,,research_package,,אתבש | source=excel_import,medium,mixed_numeric_phrase
שבעים וחמש = ביום ההוא = 75,excel_import,False,776,"חמש, שבעים",,,research_package,,שבעים וחמש = ביום ההוא = 75 | source=excel_import,medium,mixed_numeric_phrase
שבעים ושלוש ∆ (חכמה = שבעים ושלוש),excel_import,False,3960,"שבעים, שלוש",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
שבעים עמים יעלו לציון למלחמה השנה,excel_import,False,1397,שבעים,,,research_package,,לפני - פי 5 | source=excel_import,medium,mixed_numeric_phrase
שבעים עמים יעלו על ציון,excel_import,False,954,שבעים,,,research_package,,רגיל - פי 5 | source=excel_import,medium,mixed_numeric_phrase
שבעים עמים יעלו על ציון בעתה,excel_import,False,1431,שבעים,,,research_package,,אתבש - 5660 - לפני - פי 5 | source=excel_import,medium,mixed_numeric_phrase
שורש אחד,excel_import,True,819,אחד,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
שלושים ושבע פעמים שבעים ושלוש,excel_import,False,2368,"שבע, שבעים, שלוש, שלושים",,,research_package,,מיקום 358 | source=excel_import,medium,mixed_numeric_phrase
שלש חמש חמש (355),excel_import,False,1326,"חמש, שלש",,,research_package,,שלש חמש חמש (355) | source=excel_import,medium,mixed_numeric_phrase
שלש עשרה עקרי האמונה,excel_import,True,1692,"עשרה, שלש",,,research_package,,מסתתר 1551 | source=excel_import,medium,mixed_numeric_phrase
שלשים ווששה יום להתגלות צמח דוד,excel_import,False,2379,שלשים,,,research_package,,אחרי לפני | source=excel_import,medium,mixed_numeric_phrase
שלשים ווששה יום ליום הדין,excel_import,False,1508,שלשים,,,research_package,,לפני | source=excel_import,medium,mixed_numeric_phrase
שלשים ושבע יום לביאת המשיח =פי 5,excel_import,False,15200,"שבע, שלשים",,,research_package,,שלשים ושבע יום לביאת המשיח =פי 5 | source=excel_import,medium,mixed_numeric_phrase
שלשים ושבעה ליום התגלותך,excel_import,True,2013,"שבעה, שלשים",,,research_package,,לפני =פי 5 | source=excel_import,medium,mixed_numeric_phrase
שמנה עשרה,excel_import,True,970,עשרה,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
שמע ישראל יה וה אלהינו יה וה אחד,excel_import,False,1118,אחד,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
שנת אלפים עשרים ואחד,excel_import,True,1550,"אחד, אלפים, עשרים",,,research_package,,שנת אלפים עשרים ואחד | source=excel_import,medium,mixed_numeric_phrase
שנת שבעים וחמש למדינת ישראל,excel_import,False,2601,"חמש, שבעים",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
"שש ארבע ארבע אתב""ש",excel_import,True,1849,"ארבע, שש",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
שש מאות ארבעים וארבע המשיח,excel_import,False,2012,"ארבע, ארבעים, מאות, שש",,,research_package,,ריבוע גדול | source=excel_import,medium,mixed_numeric_phrase
שש מאות ארבעים וארבע צמח דויד בן ישי,excel_import,False,2183,"ארבע, ארבעים, מאות, שש",,,research_package,,רגיל ואותיות - 3960 - איק בכר | source=excel_import,medium,mixed_numeric_phrase
שתים חמש חמש,excel_import,True,1446,"שתים, חמש, חמש","[2,5,5]",255,numeric_word_construct,,רגיל ומסתתר | source=excel_import,low,numeric_sequence
שתים חמש חמש רעיה,excel_import,True,1731,"שתים, חמש, חמש","[2,5,5]",,research_package,,אתבש | source=excel_import,low,mixed_numeric_phrase
שתים חמש חמש שלש שלש שבע,excel_import,False,3078,"שתים, חמש, חמש, שלש, שלש, שבע","[2,5,5,3,3,7]",,numeric_word_construct,,מסתתר!! | source=excel_import,low,numeric_sequence
שתים שש שש,excel_import,True,1950,"שתים, שש, שש","[2,6,6]",266,numeric_word_construct,,משולש | source=excel_import,low,numeric_sequence
שתים שש שש שורש דויד המלך בימינו,excel_import,False,2993,"שתים, שש, שש","[2,6,6]",,research_package,,5060 + 1948 | source=excel_import,medium,mixed_numeric_phrase
שתים שש שש שש ארבע ארבע ∆,excel_import,False,3096,"שתים, שש, שש, שש, ארבע, ארבע","[2,6,6,6,4,4]",,numeric_word_construct,,(none) | source=excel_import,low,numeric_sequence
תכלית אחד,excel_import,True,873,אחד,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
תרגיל למשיחי - מסתתר = עשרה בטבת,excel_import,False,988,עשרה,,,research_package,,תרגיל למשיחי - מסתתר = עשרה בטבת | source=excel_import,medium,mixed_numeric_phrase
חמש סלעים,promoted:raw_docx,True,558,חמש,,,unknown,,קודם מהמאגר הגולמי — נופל על מספר-אם 1118 (גדול) | source=promoted:raw_docx,medium,mixed_numeric_phrase
רב ששת,promoted:raw_docx,True,1202,ששת,,,unknown,,קודם מהמאגר הגולמי — נופל על מספר-אם 1202 (רגיל) | source=promoted:raw_docx,medium,mixed_numeric_phrase
תשעה ערי מקלט,promoted:raw_docx,True,1234,תשעה,,,unknown,,קודם מהמאגר הגולמי — נופל על מספר-אם 1234 (רגיל) | source=promoted:raw_docx,medium,mixed_numeric_phrase
אבן אחת,promoted:raw_docx_v2,True,462,אחת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אור שבעת הימים,promoted:raw_docx_v2,True,1084,שבעת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אחד בפה ואחד בלב,promoted:raw_docx_v2,True,153,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אחד שש שלש שמנה,promoted:raw_docx_v2,True,1638,"אחד, שלש, שש",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אחת היא יונתי תמתי,promoted:raw_docx_v2,True,1751,אחת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אחת שתים,promoted:raw_docx_v2,True,1159,"אחת, שתים","[1,2]",12,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,low,numeric_sequence
אין דבר שבערוה פחות משנים,promoted:raw_docx_v2,True,1784,שנים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אלף אלפי הבדלות,promoted:raw_docx_v2,True,679,"אלף, אלפי",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אלף כסף,promoted:raw_docx_v2,True,271,אלף,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אלף שנה,promoted:raw_docx_v2,True,466,אלף,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אלף שנים,promoted:raw_docx_v2,True,511,"אלף, שנים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אלפי מנשה,promoted:raw_docx_v2,True,516,אלפי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
