phrase,source,ragil,is_verified,visibility_tier,category,created_date,n_words,proposed_corpus_role,proposed_theme,confidence,short_reason
אבל אם ניקח,wa-vip,242,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
אין בכל התנ,wa-vip,568,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
אמונה אמונה בגימטריא,wa-vip,479,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
אשר אני נתן,wa-vip,1062,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
באדרתו בגימטריא תריג,wa-vip,1501,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
בגימטריא עשר פעמים,wa-vip,1085,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
בכתיב מלא נקבל,wa-vip,687,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
בספר מלכים א,wa-vip,483,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
גימטריא של המילה,wa-vip,693,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
גם השר הגדול,wa-vip,596,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
דומה דודי לצבי,wa-vip,211,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
ה בתורה שבכתב,wa-vip,1342,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
הגימטריה האחורית של,wa-vip,1242,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
וזהו חסד יחודי,wa-vip,134,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
זה לא מצחיק,wa-vip,291,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
זקנים שבקיאים ב,wa-vip,672,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
חכמת סופרים תסרח,wa-vip,1532,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
ט פסוק י,wa-vip,265,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
ימים רצופים בגימטריא,wa-vip,801,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
יעקוב מתחלף באלב,wa-vip,781,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
יפתח החומר והרחמים,wa-vip,1066,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
יש לכך רמז,wa-vip,627,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
ך ביטוי זה,wa-vip,69,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
כך גם הקב,wa-vip,190,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
כלומר פנים לתורה,wa-vip,1117,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
כף סופית קמוצה,wa-vip,897,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
לב מלשון הובלה,wa-vip,506,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
ללא גבול בגימטריא,wa-vip,377,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
לצבי יש עטרה,wa-vip,726,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מדוע באתי וכו,wa-vip,565,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מופיע בההפטרה הביטוי,wa-vip,554,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מופיע פעמיים בתורה,wa-vip,1069,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מנבואת זכריה בגימטריא,wa-vip,1016,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
מספר המלאכים הוא,wa-vip,538,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מערכת של קרניים,wa-vip,1470,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
משיח המילוי אותיות,wa-vip,1282,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מתי יבוא משיח,wa-vip,827,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
נעשה וגם נשמע,wa-vip,934,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
סימנתי ראשי תיבות,wa-vip,1899,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
פסוק יחודי על,wa-vip,384,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
פעמים טוב בגימטריא,wa-vip,532,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
צ צב צבי,wa-vip,284,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
צבי מבין צבי,wa-vip,306,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
קץ בא הקץ,wa-vip,388,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
רמז לעמלק לעקם,wa-vip,757,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
שימו לב לשם,wa-vip,758,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
שלום עם הכולל,wa-vip,577,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
שמע ישראל וכ,wa-vip,977,False,3,קבוצת וואטסאפ VIP,2026-07-05,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
שנזכה ללמוד ממך,wa-vip,592,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
שנת הכתר העליון,wa-vip,1546,False,3,קבוצת וואטסאפ VIP,2026-07-04,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
שתי הערות חשובות,wa-vip,2113,False,3,קבוצת וואטסאפ VIP,2026-07-03,3,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
אברהם הוא היחיד בתנ,wa-vip,749,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
אוהב שלום ורודף שלום,wa-vip,1062,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
אתמל היום מחר שלשית,wa-vip,1820,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
בוקר אור קבוצה יקרה,wa-vip,1033,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
ברוכה הבאה ענת יקרה,wa-vip,1081,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
ה בחמשת חומשי התורה,wa-vip,1735,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
הוא מכפלה של מלאך,wa-vip,608,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
הכח של מעט חסד,wa-vip,554,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
ו שנת ביאת המשיח,wa-vip,1532,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
זאת התורה היהלום שבבית,wa-vip,1834,False,3,קבוצת וואטסאפ VIP,2026-07-04,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
זהו פסוק משיר השירים,wa-vip,1379,False,3,קבוצת וואטסאפ VIP,2026-07-04,4,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
חיבור לכתר בחודש אדר,wa-vip,1401,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
חן וחשיבות אהובים יקרים,wa-vip,1214,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
טבעת של שלמה המלך,wa-vip,1281,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,canonical_candidate,,high,"פסוק/ביטוי עצמאי מוכר, משמעות ברורה"
יוסף מכנה את הגילוי,wa-vip,736,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
יעקב בגימטריא פעמיים מלאך,wa-vip,798,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
כל המהות בצירוף הזה,wa-vip,911,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
כלם קדושים ובתוכם ה,wa-vip,1029,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מה שנזכה בעזרת השם,wa-vip,1451,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
מלכים א פרק י,wa-vip,531,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
משיח בחינת חטם בושם,wa-vip,1233,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
נפש ירדו למצרים מיעקב,wa-vip,1282,False,3,קבוצת וואטסאפ VIP,2026-07-04,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
סטטוס על אחרית הימים,wa-vip,968,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
צבי באתב ש משה,wa-vip,1152,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
צוף מתוק של פרחים,wa-vip,1390,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
שזאת שמירה חזקה מאד,wa-vip,1428,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
שנזכה לצוף בים החכמה,wa-vip,718,False,3,קבוצת וואטסאפ VIP,2026-07-05,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
ת מחלוקת הלל שמאי,wa-vip,1400,False,3,קבוצת וואטסאפ VIP,2026-07-04,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
תסרח מלשון חיסרון וסירחון,wa-vip,1768,False,3,קבוצת וואטסאפ VIP,2026-07-03,4,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
אם ניקח את גימטרית פסוק,wa-vip,1528,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
אני גר בבית אליעזר בחדרה,wa-vip,1215,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
אתם מקרבים את הגאולה האחרונה,wa-vip,1559,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
גאולה ברחמים א ברחמים גדולים,wa-vip,739,False,3,קבוצת וואטסאפ VIP,2026-07-04,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
הביטה ממרומים תשפכת דם הצדיקים,wa-vip,1910,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
הוא מספר הופעות שם י,wa-vip,1309,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
הפסוק מופיע מספר פעמים בתנ,wa-vip,1529,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
השאלה היא אם אתה מבין,wa-vip,906,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
ונחבר אותו לגימטריא שבת נקבל,wa-vip,1866,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
חלק חידושים שמצאתי שלא נכתבו,wa-vip,2166,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
יוד הה ואו דלת הה,wa-vip,487,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
לא הכל מופיע בסרטון על,wa-vip,719,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
לגבי זה פלא גדול מאד,wa-vip,256,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
נסחף בזרם ים בגל בגאולה,wa-vip,579,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
סוד משיח בגימטריא חלק ב,wa-vip,843,False,3,קבוצת וואטסאפ VIP,2026-07-05,5,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
צבאות הוא מלך הכבוד סלה,wa-vip,733,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
קטע הפסוק הזה בדיוק גימטריא,wa-vip,842,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
רזיאל תפרש לי את הצירוף,wa-vip,2060,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
שמראה על הסתר פנים נותנת,wa-vip,2397,False,3,קבוצת וואטסאפ VIP,2026-07-04,5,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
שרית בגימטריא עשר פעמים מלאך,wa-vip,2086,False,3,קבוצת וואטסאפ VIP,2026-07-03,5,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
הצדיק יותר לעורר את מידת הרחמים,wa-vip,2489,False,3,קבוצת וואטסאפ VIP,2026-07-04,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
ועשה חסד לאלפים לאהבי ולשמרי מצותי,wa-vip,1824,False,3,קבוצת וואטסאפ VIP,2026-07-05,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
זה סוד הכח של עם ישראל,wa-vip,1096,False,3,קבוצת וואטסאפ VIP,2026-07-03,6,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
זהו רצף של ימים שהגימטריא שלהם,wa-vip,1771,False,3,קבוצת וואטסאפ VIP,2026-07-05,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
חחח בינה מלאכית מפרגנת מאוד היא,wa-vip,1432,False,3,קבוצת וואטסאפ VIP,2026-07-03,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
יעקב מתברך ונאמר לו במקעבר יבק,wa-vip,1703,False,3,קבוצת וואטסאפ VIP,2026-07-03,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
יעקוב מתחלף באלב ם ל משפחה,wa-vip,1284,False,3,קבוצת וואטסאפ VIP,2026-07-05,6,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
כלומר הכפלת כוחו של יעקב בפקטור,wa-vip,1780,False,3,קבוצת וואטסאפ VIP,2026-07-03,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
להבין את הרמזים הבונים את השפה,wa-vip,1704,False,3,קבוצת וואטסאפ VIP,2026-07-03,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
מי הוא זה מלך הכבוד י,wa-vip,211,False,3,קבוצת וואטסאפ VIP,2026-07-03,6,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
ממנו יוצאים כל האומות וכל הגלויות,wa-vip,1317,False,3,קבוצת וואטסאפ VIP,2026-07-04,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
רצח הרב עמוס גואטה אלעזר אבוחצירא,wa-vip,1331,False,3,קבוצת וואטסאפ VIP,2026-07-05,6,thematic_corpus,news_event,high,מתעד אירוע-אקטואליה (רצח הרב עמוס גואטה) — כמו 'תיעוד אירועים' באתר
שחכבמ אותיות אחרי שחכבמ מחשב חכם,wa-vip,2200,False,3,קבוצת וואטסאפ VIP,2026-07-03,6,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
