# סוד החשמל — full lesson index extracted from post id=1794 (wp_id=503, 2013-11-26)
# READ-ONLY extraction. Each row = one source unit (audio lesson) with its one-line topic.
# parsed=1202 distinct=1200 range=2-1279 numbering_gaps=78
# lesson_no	topic
1026	רמזים על המפקד החדש בצבא רוסיה וסוד הקוגל אטריות של שבת בראשית שיעור וידאו ערב ראש חודש כסלו תשפ"ג בקבר דוד המלך בענין שיטת רמז חדשה בסוד המסננת עם רמזים על גאולה בתשפ"ג
1025	שמינ"י עצר"ת בנוטריקון יחיד בתנ"ך
1024	הפתיחה והסיום של מגילת קהלת עולה לגימטריא של כ"ב אותיות התורה
1023	צפן שע"ת האפ"ס משי"ח, ומדוע כותל המערבי בגימטריא תשפ"ג
1022	מלחמת גוג ומגוג תפרוץ בסוכות בין סין לאמריקה שילחמו ביניהם והקשר להפרש של 12 שעות שיש ביניהם
1021	סגולה לפרנסה לכבוד חג הסוכות תשפ"ג
1020	מקום אחד בתורה שנרמזו בו שתי הדלתות שמולידות את המשיח בכתוב: "דלתים ובריח"
1019	צפייה לישועה ביום הכיפורים תשפ"ג
1018	"בארץ פלשתים ימים רבים" ר"ת 'יהו"ה מלך. יהו"ה מלך. יהו"ה ימלך לעולם ועד, יהו"ה מלך עולם ועד
1017	צירוף ק"ץ בכל התורה מופיע 167 פעמים שיחד עם המילה קץ עולה משיח. והאחרון בשמיטה בפרשת וילך
1016	חפ"ץ חיי"ם מופיע בנוטריקון כמעט יחיד בתנ"ך ברצף אותיות בפסוק "רקעי פחים צפוי למזבח"
1015	רמזים מדהימים על יום כ"ח אלול ה'תשפ"ב הבא עלינו לטובה
1014	רמזים בפרשת נצבים על שנת תשפ"ב, וסוד השופר שמעורר את עולמות היושר שהם בצורת שופר
1013	רמזים בפרשת כי תבוא על שנת תשפ"ב
1012	עוד בענין כ' אלול תשפ"ב, ובענין מצות ביכורים סוד הטנא ומדוע אומרים לה' עשה את שלך
1011	רמזים נוראים על התאריך כ' אלול תשפ"ב, והקשר בין מותה של מלכת אנגליה לביאת המשיח
1010	רמזים על החצי השני של חודש אלול ובפרט על פרשת כי תבוא שמסוגלים לאחלתא דגאולה לפי לקחי העבר
1009	עוד רמזים על שנת תשפ"ג שמסוגלת לגאולה
1008	שנת תשפ"ג נרמזת ב"פתשגן", ורמזים במנין האותיות והתבות בפרשת שפטים
1007	שיעור חודש אלול תשפ"ב רמזים על שנת תשפ"ג וסוד היחוד שלפני הגאולה
1006	בית המקדש מכונה בתורה ב16 מקומות בפרשת ראה: "המקום אשר יבחר ה'", והקשר לקץ תשפ"ב
1005	שכר מצוה מצוה ושכר מצות בהאי עלמא ליכא, והקשר בין מעיל צדקה למצות צדקה שעולה על כולנה
1004	בפרשת עקב יש 182 פעמים את האותיות ק"ץ ו783 פעמים אותיות ת"ש ועוד רמזים בפרשת עקב
1003	הכותרות בעיתונים שהיוקר האמיר מבשרות על ביאת המשיח, ודברי ר' דן סגל שצריך לבטל את הבין הזמנים
1002	רק על שבת והמשכן נאמר בכל התנ"ך הנוסח "ושמרו בני ישראל"
1001	הסוד של פנים בפנים שמתגלה בספרות של השנה כשעומדות אלו מול אלו, והקשר של ואתחנן עם חינוך הבנים
1000	דרשא לליל תשעה באב תשפ"ב מדוע משיח השקר ש"ץ הצליח לעורר תשובה כללית ונוראה בתפוצות ישראל
999	רמזים במגילת איכה ובחומש משנה תורה על זמן הקץ
998	שיעור במערת אליהו הנביא בענין שיטת רמז חדשה בספירת אותיות התורה והסוד של שמע ישראל
997	שיעור בקבר דוד המלך בענין צפיה לישועה שהיא מצוה שמחייבת את הרגש של האדם ומשמעות הענין
996	הפסוק היחיד בתנ"ך שעולה 477 כמנין בעתה, הוא: "ויסעו מעיים ויחנו בדיבן גד" עם רמז על ג'ו בידן
995	המסע האחרון ב'אנא בכח' 'תעלמות' בגימטריא מסע תשפ"ב ובגימטריא 952 רמז על השנים מהחורבן עד תשפ"ב
994	הקשר בין שקדים ושוקלד לימי בין המצרים ולמלחמת גוג ומגוג
993	הקשר בין תחית המתים לשירה שחוזר שוב ושוב בדברי חז"ל
992	תמוז אב שהם בסוד שתי עינים מצמצו את החורבן ואת הסתלקות הרמ"ק והאריז"ל שגילו את סוד הצמצום
991	"ויודע דעת עליון" לפי שרצה לגלות ימות המשיח ונרמז כן שנת תשפ"ב
990	נכנסים לשנת ה280 שנים לפטירתו של רבנו ה'אור החיים' הקדוש כמנין 'אור החיים' וכמנין עטר
989	צפן: מת"י ק"ץ, מת"י משי"ח ב"א. ורמז על הקץ בחמשת המילים שמסיימים את חמשה חומשי תורה
988	שיעור חודש תמוז בקבר דוד המלך מדוע דוד המלך הוא היחיד שנקרא נר ישראל והקשר לביאת המשיח
987	יום הבחירות שקבעו לשלטון הערב רב ז' חשון תשפ"ג והקשר של יאיר לפיד ללידת משיח
986	תמוז בגימטריא מלך המשיח, חדש תמוז בגימטריא תשפ"ב, תשעה באב בגימטריא תשפ"ב
985	משפחת חבז אותיות זבח נרמזים בדברי המדרש ובשנה השלישית של דבר גליות מכפרין בו
984	אשת קרח היתה אחות דתן ואבירם, ואם כך המקלל היה אחיין של קרח
983	רמז פלא על השבוע הנוכחי שבן דוד בא שנרמז במספר 1335 בדניאל ושני צפנים של המלים פת"ע פתא"ם
982	לבאר קושית המפרשים על רש"י שהיה צריך לכתוב "יאירו ששת הנרות" ולא "שבעת"
981	2 צפנים יחידים של המילים פת"ע פתא"ם ובשניהם האות פ' הראשונה היא של המילים "בפי אמתחת"
980	מהמבול עד שנת חרבן בית המקדש השני יש ב' אלפים עק"ב שנים, שהוא מספר השנים עד סוף ששת אלפי שנה
979	מדוע נעמי משכנעת את רות וערפה לא להצטרף אליה מהסבה שאין לה עוד ילדים, והיא לא יכולה להוליד וכו'
978	מדוע הדגים היו הבעלי חיים היחידים שלא היו במעמד הר סיני
977	ממתן תורה סימנו 3333 שנים ונרמז במולד של החדש. ומדוע מחשיבים דוקא את חג השבועות כראש השנה
976	נקודת הדם של שביעית מלחמות קשורה עם נקודת מלכות שבמלכות של ערב חג השבועות
975	השתלשל הכנוי לאזן בשפה האנגלית וגם באידיש אייר, ממש כמו סודו בחודש אייר
974	דרשא בבר מצוה של בני יוסף בנימין ני"ו בענין תפילין שם ה' שנקרא עליך
973	הפרש הגימטריא בין חרוב לתמר הוא 424 כמנין משיח בן דוד
972	ל"ג בע‍מר תשפ"ב בגימטריא "והיה הוי"ה למלך על כל הארץ ביום ההוא יהיה הוי"ה אחד ושמו אחד"
971	הסודות שעליהם אמרו חז"ל שאסור ללמד לכל אדם, לא נמצאים כלל בלמוד הקבלה שנמצא בספרים שבידינו
970	הקשר בין הר מירון להר סיני ולפרשת בהר, והרמז בהשתלשלות גשר המיתרים על שנת הקץ תשפ"ב
969	שיעור חודש אייר בקבר דוד המלך בענין כדרלעומר והקשר לימי העומר ולפוטין
968	חישובים בקיצי דניאל שמגיעים לשנת ה'תשפ"ג
967	האות ה"א זעירא שיש במילה "בהבראם" מרמזת על ה' באיר אותיות בריאה שבו טמון הקץ
966	בסלמונל"ה שהתגלה במפעל שטראוס עלית, נרמז רחוב שטראוס שעולה למקום הגבוה ביותר מול המקדש
965	אם נוסיף לבראשי"ת אות פ' של האש הלבנה, נקבל אותיות אי"ר תשפ"ב
964	אפיקומ"ן נרמז בס"ת יחיד בתנ"ך בפסוק "אם יתן לי בלק מלא ביתו כסף וזהב וגו' לעשות קטנה או גדולה"
963	השתלשל המהומות של הישמעלים במסגד עומר כשהתחלנו לספור את העומר בפסח תשפ"ב
962	חכמת הסופרים של תורת הרמז קשורה עם האגוזים של חודש ניסן ועם סרח העודף במשכן
961	דיני אפיקומן בסימן תע"ז בשולחן ערוך, מרמזים על בעתה בגימטריא תע"ז שקשור עם האפיקומן בשולחן עורך
960	"בלא עת נדתה" זה אותם אותיות של הפסוק שנאמר על לידת משיח: "עת לדתנה"
959	נחבר את המספרים של אותיות מנצפ"ך 3500 ועוד 280 נקבל 3780 שזה אותם מספרים של 783 שנת תשפ"ג
958	משיח בן יוסף נרמז בפסוק "וכל שיח השדה", ויש רמז על מרן הגר"ח קניבסקי זצ"ל
957	מדוע מבצע ישמעאל את הדין בדרך של פגועי טרור, ואלו עשו מביא מלחמות ומגפות ותאונות דרכים
956	מדוע 'אחכה לו בכל יום שיבוא' לא סותר את דברי הגמרא שאסור לאדם לחשוב על יום מסוים שהוא הקץ
955	אחר מיטתו של מרן שר התורה הגר"ח קניבסקי זצ"ל, והקשר למלחמת רוסיה אוקראינה
954	בגתן בגימטריא ולדימיר פוטין, והוא ותרש היו טרסיים שיתכן שהם הרוסיים של היום
953	הקשר בין חרבונא למרור חרחבינא, לחרובין שאכל רשב"י, להר חורב, ולחרבן בית המקדש
952	משנת יציאת מצרים עד סוף הששת אלפי שנים יש 3551 חגי פסח, ומשנת גאולת פורים נקבל את אותו מספר
951	יתכן שפוטין הוא ארמילוס התאום של גוג שעתיד להלחם בו במלחמת גוג, ובידן הוא גוג
950	המקום היחיד בתורה שנרמז ק"ץ צדי"ק סופית האות שבה תלויה הגאולה העתידה, נמצא בפסוק "וקצץ פתילם"
949	הסוד של "ספר הזכרון" שנכתבים בו אלו שיזכו לגאלה, "כל הכתוב לחיים בירושלים"
948	השועל מסמל את משיחי השקר ובפרט את קלפת מדינת ישראל
947	המשך הרמזים על פוטין וזלנסקי והקשר למלחמת גוג ומגוג
946	חתונה שנהפכה לחורבן, כשחתן נפצע באמצע הריקודים באופן קשה, קשור לצופן שפרסמנו שקשור לגאולה
945	"מנא מנא תקל ופרסין" בגימטריא פורים תשפ"ב ובגימטריא "שמע ישראל וגו'" והקשר לפרס רוסיה סין
944	וולודימיר זלנסקי עם האותיות והמילים ושתי הכוללים בגימטריא מלחמת גוג ומגוג
943	גלוי הקץ נמצא בשם הקדוש יג"ל פז"ק ר"ת יגל"ה פדיו"ן זר"ע קדושי"ם והקשר לחודש אדר תשפ"ב
942	גודל הקף הזר זהב בארון מ"ח טפחים ובשולחן ל' טפחים כמנין המעלות שצריך לזכות בכתר תורה ובכתר מלכות
941	"אם" ר"ת אריה מכלוף [דרעי] "בגפו יבא בגפו יצא" ר"ת ביב"י, "יצא" ר"ת יעקב ליצמן
940	השתלשל שהפרד אינו יכול להוליד לרמז שלא שייך לחדש חדושי תורה, למי שהוא בבחינת פרד שאינו לומד סוד
939	שנת תשפ"ב נרמזת באות שלישית ושניה בבחינת ג"ב בפסוק שהנשר נושא על הגב "ואשא אתכם על כנפי נשרים"
938	המשך שנת תשפ"ג היא שנת יובל, ובענין מלחמת רוסיה ואוקרינה תשפ"ב
937	המשך שנת תשפ"ג היא שנת יובל, למה נכנסים בתוך פסוקי הנחמה פסוקים על הפך הנחמה "כל הבשר חציר וגו'"
936	המשך שנת תשפ"ג היא שנת יובל, ובענין הלויתן היה האלמן הראשון בעולם ולכן פרעה התאלמן בקריעת ים סוף
935	המשך הענין ששנת תשפ"ג היא שנת יובל, ובענין הקב"ה עוסק בורא אורו של משיח מתוך הצרות והחטאים
934	שיעור חודש שבט בקבר דוד המלך בענין שנת תשפ"ג שהיא שנת יובל לפי ר"י ובמוצאי שביעית בן דוד בא
933	הפסוק "ישרוק ה' לזבוב" נאמר על סנחריב שהוא גוג, ורואים שגוג יכול להתחלף בזבוב היינו קורונה
932	"הוא הלילה הזה ליהו"ה שמרים" בבחינת לעתיד ש"לילה כיום יאיר". ולכן תשפ"ב בא"ל ב"ם אותיות כיו"ם
931	מדוע יש לימוד מיוחד על הגיל של ישמעאל שהיה בן 74 שנים כשנולד יעקב והקשר לשנת תשפ"ב
930	בנט הוא משרש נבט שמסיים את השלטון שיונק מירבעם בן נבט
929	אלו שנוסף להם אות בשמם: אברהם יוסף יהושע דוד כפול שבע עולה 5782
928	רמז על המשיח בשנת תשפ"ב בפסוק "ובני דן חשים" והמשך ענין הגמלים
921	צפן נורא על תשפ"ב, והקשר לזאת חנכה
920	"ותעמד מלדת" אותיות מדל"ת היינו שכאן היה לה בחינת כסא של ארבע רגליים שיכול לעמוד
919	רמז לחנכה תשפ"ב: "עד כה ונשתחוה", אותיות 'חנוכ"ה תש"ח ע"ד שנים
918	איך מסתדר האמונה בביאת המשיח בכל יום שיבוא, עם לימוד דניאל ועוד שנותנים חשבונות לחשב את זמן הגאולה
917	ענין שינת יעקב במקום המקדש, והקשר לקץ
916	האותיות קר"ע שט"ן נרמזות כמה פעמים בחפירת הבאר רחובות שכנגד בית המקדש השלישי
915	רבקה רמזה "אם כן למה זה אנכי" על כלל ישראל שיאמרו על הים "זה אלי ואנוהו" וישמעו "אנכי" בהר סיני
914	פרשת חיי שרה מופיע י"ג פעמים יצחק וי"ג פעמים רבקה, והאריז"ל מלמד שהם קשורים לי"ג מידות הרחמים
913	מדוע אומר רבי שאנטונינוס ניצח שהיצר הרע נכנס רק בזמן לידה, הרי אנטונינוס היה עשו שהיה מבעט בבטן
912	הקשר בין פטר רחם לפטר חמור, וסוד הישועה בישוע הבן וברואה חמור בחלום
911	סיבות הבכי של יוסף שמוזכרות בתורה: ילד, בנימין, אחיו, בנימין, אחיו, יעקב, יעקב, עולים בגימטריא תשפ"ב
910	אחרי הברית אברהם השתוקק לאורחים שמסמלים דרך חדשה ביסוד, ולכן "חדל להיות לשרה ארח כנשים"
909	שנת תשפ"ב בגימטריא בי"ע, וחיבור עולמות בי"ע לאצילות הוא סוד הגאולה העתידה
908	מדוע גזרה חכמתו יתברך שנשמות דוד ומשיח יצאו מסדום דוקא ושיהיה להם שייכות בשרש לסדום
907	חודש חשון מסוגל לאתחלתא דגאולה, ובענין צירוף אותיות ג"ט שלא מופיע בשום מקום בתנ"ך מצורף קישור לשיעור ראש חודש כסליו בקבר דוד המלך בשו"ט וחודש טוב
906	המעבר מנח לאברהם הוא המעבר משבע מצות בני נח באלפים שנות תהו לאלפים שנות תורה והקשר לקץ
905	יונה בספינה הוא בבחינת תבת נח עם היונה והקשר לגאולת ישראל
904	רמזים על שנת תשפ"ב והחשש ממשבר כלכלי שיהיה בתחילת השנה
903	"יפרח בימיו צדיק ורב שלום עד בלי ירח" רמז על הקץ בשנת תשפ"ב שהיא יר"ח שנים מסוף האלף
902	בפסוק "ברוך מרחיב גד". יש רמז על הרחבת הדג לשני חודשים בסוד העיבור
901	מדוע מעין השילוח הוא המקוה הטוב ביותר בעולם, והקשר למצות סכה
900	הר"ת היחיד בתנ"ך של תשפ"ב נמצא בפסוק "לא תכלה פאת שדך בקצרך", והקשר בין שמיטה לסוכה
899	תיבת נח היתה בבחינת סוכה, ומדוע עור של לויתן כשר לסכך
898	השנתים של הקורונה מסכות תש"פ בסוד הפסוק "עין בעין", עי"ן בגימטריא תש"פ "בעין" בגימטריא תשפ"ב
897	זכות וחובה אינן שיכות לטוב ורע, אלא לשכר ועונש, והקשר ללימוד הזהר שבזכותו נגאל ברחמים
896	בזמן הקץ יספיק תשובה מועטה ולא יצטרכו תשובה שלימה, ומדוע תשוב"ה אותיות ה'תשפ"ב
895	ההצפות בארה"ב בכ"ה אלול יום בריאת העולם, ויציאת צבא ארה"ב מאפגניסטן באותו יום והקשר לגאולה
894	התרועה מעוררת את הגאולה העתידה, ולכן תרועה יחד עם הק' קולות עולה תשפ"ב
893	המשך השיעורים בענין קץ הגר"א וביאור בפסוק "ולא הלכתי בגדלות ובנפלאות ממני"
892	המשך השיעורים בענין קץ הגר"א והרמז במתושלח שחי אחרי לידת תשפ"ב שנים. ואחרי 182 שנים נולד נח
891	ערוב דבר שחין בגימטריא בעתה אחישנה, והקשר לסגר הקורונה, והסוד של תפילות בחוץ בזמן הקורונה
890	המשך השיעורים בענין קץ הגר"א שנשלם בשנת תשפ"ב
889	מאותה סבה שפורים אינו יום טוב, גם חדש אלול אינו יום טוב
888	המשך השיעור הקודם, ועוד רמזים על שנת תשפ"ב
887	המשך השיעור הקודם בענין קץ הגר"א
886	הגר"א דיבר על תשע"ב שתהיה כריתת הערלה, ועוד יו"ד להשלים את הפריעה עד תשפ"ב שיתגלה חסד ביסוד
885	חב"ד במספר קטן 428 הגימטריא של אור חוזר רמז שהעלאת מיין נוקבין בסוד אור חוזר נעשית דרך המח
884	הקשר בין חומש משנה תורה לגאולה העתידה ולשנת ה'תשפ"א
883	רמזים על שבת נחמו תשפ"א, והקשר בין "משכיל לדוד" ל"הנה ישכיל עבדי"
882	גלויים חדשים על הצופן נורא נוראות: אמ"ת אדי"ע בה'תשפ"א אבע"ר רו"ב הח"י. רואים את התאריך כ' אלו"ל
881	מדוע האסונות הגדולים בתוך הציבור החרדי והרמז הברור בדברי המדרש על הנפילות ועוד, שיעור ליל ת"ב
880	הקריסה הכלכלית בלבנון מובילה לדברי חז"ל: לא נתמלאה צור אלא מחרבנה של ירושלים
879	סוד הגאולה קשור עם השתלשלות מהירות האור שיש בפיזיקה הגשמית. שיעור בקבר דוד המלך
878	התיקון לבתי המקדש שנחרבו בט' אב במוצ"ש בשמיטה, צפוי בט' באב תשפ"א ותשפ"ב שיחולו במוצ"ש בשמיטה
877	מדוע יצחק בקש לגלות את הקץ לעשו, ועוד רמזים על אסון מיאמי
876	מדוע ענין התקונים ברוחניות הוא קשה מאד, בשונה מענין התשובה
875	ד"ם מאמ"י נרמז בר"ת וס"ת בפסוק "מקים מעפר דל מאשפת ירים אביון וגו'"
874	האסון במאימי, ומדוע יש"ו מוחמד בגימטריא "את והב", ועוד רמזים על ממשלת הערב רב
873	כמו שבמצרים 219 שנים לפני היציאה יצא יוסף מבית האסורים, כך בסוף שנת תשפ"א צפויה אתחלתא דגאולה
872	שלשת ממשלות לפיד כנגד שלש פעמים יבנה ויפול, ומדוע התורה אמרה "לא יהיה כלי גבר" בשם של תרנגול
871	המשך השיעור הקדם, ומדוע אין בן דוד בא, עד שתתהפך כל המלכות למינות
870	בענין ממשלת בנט לפיד ורמזים על יהושע וכלב
869	פתיחת הבולען בכניסה לבית חולים שערי צדק, וסוד העצה שזוכים לה בנישואין
868	בענין ממשלת בנט לפיד, והמשך ענין האירוסין, ועוד על אסון מירון, ובענין פיגול
867	הארוסין מסמלים את הנסירה, ונשואין את ההתנשאות של זו"ן לזווג כלי ורוחא, והקשר לקלפת נסרלה
866	שנת 2021 לבריאת העולם היתה מלחמת המלכים בסוד מלחמת גוג ומגוג, והקשר לשנת 2021 למנינם
865	ישיבת פוניב"ז נמצאת בר"ת יחיד בתנ"ך בפסוק "ובא לציון גואל ולשבי פשע ביעקב נאם יהו"ה"
864	'מעשה איש ופקודתו' מרמז על כך שלכל אדם יש תפקיד בעולם שאותו הוא צריך למלא
863	מדוע תורתו של משיח נעלמה ממשה רבינו
862	"נעשה אדם" בזכות שיקדים נעשה לנשמע. והקשר לרשב"י, והמשך הרמזים על אסון מירון
861	בשנת ה'תשפ"א אנו נכנסים לשנת 3333 מיציאת מצרים, וכשעברו 33 ימים מיציאת מצרים היה אסון מירון
860	המשך הרמזים על האסון הנורא נוראות במירון בל"ג בעומר תשפ"א
859	עוד רמזים על האסון הנורא נוראות במירון בל"ג בעומר תשפ"א
858	על האסון מירון ל"ג בעומר תשפ"א
857	מדוע סודות התורה נלקטו משדה תפוחים
856	הקשר בין כתר הרימון לכתר מירון, והקשר בין שער הרימון לגילוח השער במירון
855	יאי"ר לפי"ד אותיות לפי"ד איי"ר, למוד הסוד הוא הנחמה ותכלית הגאלה שתהיה לעתיד לבא
854	נתנז בגימטריא זרש."לא תלין פעלת שכיר אתך" ר"ת תשפ"א. שפ"ת היא"ר אותיות ה' אי"ר תשפ"א
853	טצ"ץ בגימטריא ה' באיר תשפ"א בו ישלם הזמן של משיח בן יוסף ונזכה להתגלות משיח בן דוד
852	הסבר פנימי על המחלוקת שהיתה בין מרן הרב שך זצ"ל לאדמו"ר מחב"ד זצ"ל והקשר למה שקורה היום
851	דברי הרבי ר' זושא שבא"י יהיה רק פחד, ולא יקרה כלום, והמשך השיעור הקודם על הקשר בין הנשר לדגים
850	הקשר בין הנשר לדגים ולגאולה השלימה
849	מיזוג היין במים מסמל את התמזגות הקולות שממתיקים את השירה
848	שביעי של פסח שחל בשבת זמן מסוגל לאתחלתא דגאולה והמשך השיעור הקודם
847	פירוק גוש הימין ודחיקת החרדים והדתיים החוצה זה סוד לידת משיח שאנו מצפים לו
846	יום י' בניסן הוא תאריך שמסוגל לאתחלתא דגאולה, כמו שהיה בגאולת מצרים, ובכניסה לא"י, ובגאולת פורים
845	הפגוע שעשו האירנים בשפיכת הזפת לארך חופי ארץ ישראל והמשך הרמזים בטעמי המקרא
844	דברי ה'חתם סופר' והעטרת ישועה' ועוד שמשיח יבוא כשערב פסח חל בשבת
843	אחרי הקמת המשכן לא כתוב דבר על בצלאל, ומדוע לא נמנה בצלאל עם הנשיאים או עם הגדולים כשנכנסו לא"י
842	כדי לצאת מהמגפה צריך להפך את האותיות נג"ף לגפ"ן, ואת המלים "נגף בפקד" ל"ופקד גפן"
841	הקורנה עושה היום את הבירור מי רוצה את הגאולה ומי לא חס ושלום, כמו מכת ארבה במצרים שעשתה בירור
840	חמש מקראות בתורה שאין להן הכרע מרמזים על הקץ שאין הכרע אם יבוא באחישנה או בבעתה
839	גאולת פורים היתה בבחינת סוס, והגאולה העתידה תהיה בבחינת חמור
838	ושתי היא סוד דור המדבר שלא נכנסו לארץ ישראל, ואסתר היא סוד הדור שנכנסו לארץ ישראל
837	רמז בשלג שזוכים להמתקה של המגיפה, והקשר בין חברת פיזר ל"כפור כאפר יפזר", ולשר החוץ האיראני זריף
836	המדרש שבערב שנת השמיטה בחדש ניסן יבוא שלג שיביא רעב לעולם, כדי שיתחילו לדבר שהמשיח מגיע
835	מדוע יהושע בן נון היה בבחינת ענן
834	מדוע יש שמתנגדים לנוסח בהזמנות לשמחת בר מצוה שיזכה להכנס לנועם עול תורה ומצות
833	צופן בפסוק "ביום המגפה" מלך פרס מתגרה במלך ערבי, וכו', ונרמז התאריך ו' אדר תשפ"א
832	בוכוח בין ישעיהו לחזקיהו; נלמד לדרכי הקנאות שאסור שיהיו מלוים בחטאים, מה שהתורה לא התירה
831	שמואל חי ובית דינו קים' שמופיע בג' מקומות בש"ס והקשר לדוד המלך ולגאולה, צמ"ח נרמז ב"קץ שם לחשך"
830	מיכאל שר הפנים בגימטריא ה'תשפ"א האחדות בין בני ישראל מסלקת את הקליפות ומזככת ומצרפת תרתי משמע
829	ג' פעמים ד"ם עולה קל"ב, וזה עומד בין מספר סמא"ל שעולה קל"א למספר נג"ף שעולה קל"ג
828	אדריאנוס שחיק טמא קרא לירושלים אילי"ה קפיטולינ"ה, ולכן השתלשל המקום גבעת הקפיטול
827	להבין את חשיבות העולם החומרי ומדוע תלוים כל העולמות בעולם החומרי, וסגולה לכל ישועה כתוצאה מהדברים
826	עם ישראל ביצי"מ היו בבחינת עבד שרבו הניח לו תפילין, ויצאו מפרך לפארך שזה תפילין ועולה תשפ"א
825	הג"ר אהרן רופלער זצ"ל בא בחלום לאחד מרבני הקהילה ואמר לו שהניתוח יהיה ביום כ"ז
824	הכתוב "ידבק יהו"ה בך את הדבר" הוא הפסוק 220 מסוף התורה שמכוון כנגד שנת תשפ"א
823	אותיות משי"ח מקבילות לאותיות תשפ"א. ואותיות עד"ן מקבילות לאותיות זמ"ן, והקשר לפיגוע בעדן בתימן
822	חזרתו של פולארד לא"י, ונשיאי ארה"ב ביד"ן ואובאמ"ה שנרמזים בפסוק "בן אדם שים פניך אל גוג ארץ המגוג"
821	בכל התורה יש 552 אותיות על 552 אותיות ותשארנה 101 אותיות בתחלה או בסוף, ומרמז על הגאולה בהתשפ"א
820	התקרבות נדירה בין כוכב שבתאי לכוכב צדק בימים אלו. וצפן פלא על עשרה בטבת תשפ"א
819	הזהר אומר שסוד הקץ נרמז במלה שכינתא בגימטריא תשפ"א. והקשר בין בקעת ארבל ללידת משיח
818	לוט בא על בנותיו, יהודה בא על כלתו, ובעז בא על רות בבחינת כלתו, ויוסף קפץ לנילוס כשברח מאשת פוטיפר
817	קץ בעתה שנדפס בספר חשוב מלפני 470 שנה מרמז על שנת תשפ"א. ומדוע ערב חנוכה בגימטריא קורנה
816	שיטת רמז חדשה ופלאית בטעמי התורה לכבוד ימי החנכה תשפ"א, ורמזים על גאולה בחנוכה תשפ"א
815	גי"ד הנש"א נרמז ב"הגידה נא שמך", והסוד של המלים "בלילה ההוא" שמופיעות בכל התורה 5 פעמים
814	הפסוק במנין ה' אלפים תשפ"א, מסוף התורה לתחלתה "ויקרא ה' אלהים אל האדם ויאמר לו איכה"
813	קץ ספר 'מעינות החכמה' שנכתב לפני כחמש מאות שנה, במילים ח"ץ יש"ע שמרמזים על שנת תשפ"א
812	בין אותיות נזי"ד מסתתר אותיות מגו"ג. ובין האותיות יזי"ד מסתתרות אותיות גו"ג. והקשר לטראמפ וביידן
811	"עד שיפוח היום ונסו הצללים" ס"ת מוחמ"ד. ו"שיפוח" אותיות יש"ו פ"ח
810	צופן נורא של המילים אמ"ת אדי"ע בה'תשפ"א אבע"ר רו"ב הח"י, וחשבון על חזרת הנבואה בה'תשפ"א
809	ויסעו מעיי העברים בגימטריא דונלד טראמפ, ומשם נסעו לדיבן גד אותיות ג' ביד"ן, ועוד רמזים על הקורונה
808	פוטין אותיות פ"ט יו"ן, וטראמפ אותיות פ"ט אר"ם, ולכן יתכן שיסיימו את תפקידם אחרי חנוכה
807	המסר שה' שולח בבחירת גו בידן לנשיא ארה"ב. ורמזים על גאולה בתשפ"א בטעם קרני פרה על "אלפים באמה"
806	אליהוא בן ברכאל הוא אליהו הנביא בגלגולו הראשון, והקשר לשנת תשפ”א
805	רמזים על ביידן שיבחר ויעשה מהפך, ורמז בפסוק”בית אל מים והעי מקדם” אותיות עקיב”א והתלמידי”ם מ”ם
804	גילוי צופן נשי”א ארה”ב טראמ”פ בייד”ן אמריק”א, ורמזים בפסוקים ה358 כמנין משיח מתחילת כל חומש
803	רמז ברש”י על מגיפת הקורונה שנקראת קובי”ד בלע”ז שתפסק בתקופת טבת, והלידה של משיח תהיה בניסן
802	“והושיעה לבן אמתך” בגימטריא 945, וההמשך “עשה עמי אות לטובה” בגימטריא 954 אותם מספרים
801	אם נחלק 6000 ל7 לדעת מתי מתחיל הארת ה7 בתוך ה6000. רואים בתוצאה 3 פעמים את צירוף המספרים 5781
800	דברי ה’חתם סופר’ על שנת תשפ”א “מאשפת ירים אביון” יחד עם עוד דברים שאמר ומתחברים לשנת תשפ”א
799	ה’ הראה לדוד את המלאך של המגיפה מעל גרן הארונה היבוסי, אותיות קאורנה ואז נעצרה המגיפה
798	מדוע הכותל היה סגור בפסח וסוכות, ומדוע האותיות אחרי דינ”ה הן סוכה, והקשר לדינה בת יעקב
797	אור פניך בגימטריא קורונה, ושנת תשפ”א ר”ת תהא שנת אור פניך. ונמתק בשמיני עצרת בסוד “פנים בפנים”
796	הלויתן הוא סוד הדעת, והקשר בין דגים לתורת הרמז
795	לא שייך שוב פעם שאד”ו יהיה בראש, כי הוא התהפך ל”ואד”. ולכן לא אד”ו ראש, ולא אד”ו ראשון של סוכות
794	המשך הרמזים בצופן הנורא: אמריק”ה שוא”ה ה’תשפ”א בפסוק שמדבר על הנפלאות בזמן הגאלה
793	הכתובת של שנת תשפ”א היא חכמה דיסוד דהוד דיסוד. זה ממש אור הגאולה שיתגלה הארת החסד ביסוד
792	משתלשל לפני לידת משיח סגר, כי אנו בזמן של צירים שהפתח סגור, וכמו שהיה ביריחו שהיתה “סוגרת ומסגרת”
791	וצוח להון סיפרי קיסמי בגימטריא תשפ”א
790	אם נחליף את השי”ן שבתשפ”א לאות מ”ם, נקבל אותיות פתא”ם, וחילוף השי”ן והמ”ם זה הסוד של ביאת המשיח
